,light_level,occupancy,desired_light_level
358,0.4,1,0.1
359,0.3,1,0.1
360,0.6,1,0.1
361,0.8,1,0.1
362,0.4,0,0.9
363,0.4,0,0.9
364,0.2,0,1.0
365,0.9,0,0.6
366,0.9,1,0.1
367,0.8,1,0.1
368,0.9,1,0.1
369,0.1,1,0.1
370,0.8,1,0.7
371,0.1,0,0.7
372,0.4,0,0.7
373,0.3,0,0.7
374,0.1,1,0.7
375,0.1,0,0.7
376,0.5,1,0.9
377,0.4,1,0.3
378,0.9,0,0.7
379,0.3,1,0.7
380,0.5,1,0.8
381,0.7,1,0.8
382,0.9,0,0.7
383,0.8,0,1.0
384,0.8,0,0.6
385,0.6,0,0.2
386,0.8,1,0.6
387,0.2,1,1.0
388,0.5,1,1.0
389,0.7,1,0.1
390,0.9,0,0.5
391,0.3,0,1.0
392,0.1,0,1.0
393,0.4,0,1.0
394,0.5,0,0.1
395,0.5,0,0.1
396,0.1,0,0.1
397,0.3,1,0.9
398,0.4,0,0.1
399,0.4,1,0.5
400,0.5,0,0.5
401,0.4,0,0.3
402,0.4,0,0.3
403,0.4,1,0.3
404,0.4,0,0.9
405,0.1,0,0.9
406,0.6,1,0.8
407,0.1,0,0.8
408,0.7,0,0.3
409,0.2,0,0.9
410,0.9,1,0.9
411,0.7,1,0.1
412,0.5,1,0.3
413,0.3,1,0.9
414,0.5,1,0.9
415,0.7,1,0.1
416,0.5,1,1.0
417,0.2,1,1.0
418,0.7,1,0.5
419,0.2,1,0.9
420,0.1,0,0.9
421,0.2,1,0.6
422,0.5,1,0.6
423,0.2,0,0.9
424,0.2,0,0.9
425,0.6,0,0.6
426,0.3,0,1.0
427,0.8,0,0.8
428,0.8,1,0.8
429,0.6,0,0.8
430,0.8,0,0.5
431,0.6,0,0.1
432,0.2,1,0.1
433,0.7,0,0.9
434,0.6,1,0.2
435,0.8,1,0.2
436,0.5,0,0.3
437,0.3,0,0.8
438,0.8,1,0.8
439,0.4,0,1.0
440,0.4,1,1.0
441,0.9,0,1.0
442,0.5,1,0.9
443,0.8,0,0.5
444,0.9,1,0.5
445,0.6,1,0.9
446,0.8,1,0.9
447,0.4,1,0.9
448,0.6,0,0.7
449,0.8,1,0.7
450,0.9,0,0.2
451,0.2,1,0.2
452,0.7,1,0.3
453,0.2,0,0.3
454,0.6,1,0.1
455,0.3,0,1.0
456,0.8,0,0.6
457,0.5,1,1.0
458,0.8,0,1.0
459,0.7,1,1.0
460,0.8,0,1.0
461,0.4,1,0.7
462,0.1,0,1.0
463,0.5,0,0.3
464,0.1,0,0.3
465,0.2,0,0.8
466,0.2,1,0.1
467,0.8,1,0.8
468,0.1,1,0.7
469,0.2,0,0.7
470,0.4,1,0.7
471,0.5,1,0.9
472,0.3,0,0.9
473,0.9,0,1.0
474,0.5,1,0.3
475,0.3,0,0.2
476,0.9,0,0.6
477,0.1,1,0.9
478,0.4,1,1.0
479,0.6,1,0.3
480,0.8,0,1.0
481,0.4,0,1.0
482,0.9,0,0.9
483,0.8,0,0.9
484,0.7,1,0.9
485,0.2,1,0.9
486,0.5,1,0.3
487,0.4,1,0.1
488,0.5,1,0.1
489,0.9,0,0.1
490,0.1,1,1.0
491,0.1,0,1.0
492,0.5,0,1.0
493,0.9,0,0.8
494,0.1,0,0.6
495,0.7,0,0.1
496,0.8,1,0.1
497,0.6,0,1.0
498,0.5,1,0.9
499,0.7,1,0.1
500,0.8,1,0.1
501,0.7,1,1.0
502,0.1,0,0.7
503,0.3,0,1.0
504,0.9,1,0.6
505,0.2,0,0.2
506,0.5,0,0.6
507,0.6,1,1.0
508,0.3,0,1.0
509,0.2,1,0.9
510,0.5,0,0.9
511,0.8,0,0.6
512,0.3,0,0.6
513,0.6,0,0.6
514,0.5,1,0.3
515,0.6,0,0.9
516,0.7,0,0.5
517,0.2,0,0.5
518,0.8,0,0.5
519,0.2,1,0.5
520,0.3,1,0.5
521,0.6,0,0.9
522,0.8,0,1.0
523,0.1,1,0.3
524,0.1,1,0.5
525,0.9,1,0.2
526,0.9,1,0.1
527,0.5,1,0.7
528,0.3,1,1.0
529,0.2,1,1.0
530,0.5,1,0.5
531,0.6,0,0.7
532,0.9,1,1.0
533,0.8,0,1.0
534,0.4,0,1.0
535,0.1,1,1.0
536,0.7,1,0.2
537,0.2,0,0.5
538,0.8,0,0.5
539,0.7,1,0.5
540,0.5,1,0.5
541,0.6,1,0.8
542,0.7,1,0.8
543,0.6,1,0.5
544,0.7,1,0.5
545,0.5,1,0.3
546,0.9,1,0.6
547,0.3,0,1.0
548,0.9,1,0.3
549,0.4,1,0.3
550,0.2,1,0.3
551,0.9,1,0.9
552,0.7,0,0.9
553,0.2,1,1.0
554,0.7,0,1.0
555,0.9,0,0.5
556,0.4,0,0.3
557,0.3,1,1.0
558,0.2,0,1.0
559,0.3,0,0.1
560,0.7,1,0.6
561,0.5,1,0.6
562,0.6,1,0.9
563,0.8,1,0.3
564,0.3,1,0.3
565,0.7,0,0.3
566,0.6,1,0.3
567,0.2,0,0.3
568,0.3,0,0.9
569,0.1,1,0.7
570,0.1,0,0.6
571,0.4,0,0.8
572,0.2,1,0.5
573,0.8,1,0.9
574,0.5,0,0.9
575,0.2,1,0.9
576,0.9,0,0.9
577,0.2,1,0.9
578,0.1,0,0.9
579,0.5,1,0.9
580,0.4,0,1.0
581,0.3,1,1.0
582,0.7,1,1.0
583,0.2,0,1.0
584,0.8,0,0.1
585,0.1,0,0.7
586,0.2,0,0.9
587,0.7,0,0.9
588,0.6,0,0.3
589,0.4,1,0.9
590,0.4,0,0.9
591,0.2,1,1.0
592,0.7,0,0.7
593,0.5,0,0.1
594,0.1,0,0.9
595,0.5,0,0.9
596,0.8,1,0.7
597,0.3,0,0.1
598,0.8,1,0.1
599,0.3,1,1.0
600,0.9,1,1.0
601,0.8,0,1.0
602,0.2,0,0.9
603,0.4,0,0.9
604,0.8,0,0.1
605,0.8,1,0.9
606,0.6,0,0.9
607,0.3,1,0.9
608,0.6,0,0.2
609,0.4,1,0.2
610,0.2,1,0.2
611,0.9,1,0.9
612,0.7,0,0.6
613,0.9,0,0.6
614,0.5,0,1.0
615,0.3,1,1.0
616,0.7,0,0.1
617,0.3,0,0.1
618,0.3,0,0.8
619,0.4,1,0.2
620,0.1,1,0.2
621,0.4,0,0.2
622,0.5,0,0.2
623,0.5,1,0.8
624,0.6,1,0.8
625,0.8,0,0.9
626,0.7,0,0.9
627,0.5,1,0.3
628,0.4,1,0.6
629,0.2,0,0.6
630,0.3,1,0.6
631,0.6,0,0.9
632,0.9,0,0.2
633,0.7,0,0.3
634,0.8,0,0.7
635,0.2,1,0.7
636,0.3,0,1.0
637,0.1,1,0.5
638,0.8,1,0.5
639,0.3,0,0.3
640,0.8,1,0.3
641,0.1,1,0.6
642,0.6,1,1.0
643,0.1,1,0.3
644,0.2,1,1.0
645,0.7,1,0.6
646,0.6,0,0.6
647,0.9,1,0.6
648,0.1,1,0.6
649,0.7,0,0.8
650,0.6,1,0.8
651,0.1,0,1.0
652,0.5,1,1.0
653,0.1,0,1.0
654,0.9,1,0.7
655,0.8,1,0.7
656,0.3,1,0.7
657,0.1,1,0.7
658,0.1,1,0.3
659,0.7,1,0.5
660,0.9,0,0.3
661,0.1,0,0.3
662,0.5,1,0.3
663,0.8,0,0.3
664,0.1,0,0.1
665,0.1,0,0.1
666,0.5,1,1.0
667,0.5,1,0.9
668,0.3,0,0.9
669,0.1,0,0.3
670,0.1,1,0.7
671,0.7,1,1.0
672,0.4,0,0.3
673,0.1,0,1.0
674,0.8,1,0.7
675,0.1,0,0.5
676,0.7,0,0.5
677,0.5,0,1.0
678,0.4,1,0.3
679,0.1,0,0.2
680,0.4,1,0.6
681,0.2,1,0.6
682,0.7,0,0.6
683,0.2,1,1.0
684,0.4,0,1.0
685,0.8,0,1.0
686,0.5,1,1.0
687,0.9,0,0.3
688,0.9,0,0.9
689,0.6,0,0.1
690,0.3,0,0.1
691,0.1,1,0.2
692,0.3,0,0.2
693,0.1,0,0.2
694,0.7,0,0.5
695,0.5,1,0.5
696,0.9,0,0.5
697,0.7,1,1.0
698,0.8,0,1.0
699,0.4,0,1.0
700,0.2,1,0.5
701,0.9,1,0.9
702,0.5,1,0.5
703,0.3,0,0.5
704,0.2,1,0.5
705,0.2,0,1.0
706,0.6,0,0.8
707,0.2,0,1.0
708,0.6,1,0.1
709,0.7,0,0.7
710,0.8,0,0.1
711,0.5,0,0.1
712,0.8,0,0.1
713,0.2,0,0.1
714,0.2,0,1.0
715,0.2,0,0.5
716,0.8,1,0.5
717,0.1,0,1.0
718,0.5,0,0.3
719,0.9,1,0.8
720,0.8,0,0.8
721,0.9,1,0.8
722,0.9,1,1.0
723,0.4,1,0.5
724,0.1,1,1.0
725,0.2,1,0.1
726,0.9,1,0.5
727,0.5,0,0.5
728,0.4,0,1.0
729,0.8,1,0.9
730,0.3,1,0.9
731,0.8,1,0.6
732,0.3,0,0.7
733,0.6,0,0.7
734,0.4,1,0.9
735,0.4,0,0.9
736,0.4,0,1.0
737,0.5,0,0.3
738,0.1,0,0.7
739,0.2,1,0.5
740,0.5,0,0.7
741,0.8,0,0.3
742,0.2,1,0.8
743,0.9,1,1.0
744,0.1,1,0.9
745,0.8,1,0.9
746,0.6,1,1.0
747,0.7,1,1.0
748,0.6,0,1.0
749,0.9,0,0.3
750,0.5,1,0.3
751,0.5,0,1.0
752,0.3,1,1.0
753,0.6,1,1.0
754,0.8,0,1.0
755,0.8,1,1.0
756,0.7,1,0.1
757,0.5,0,0.1
758,0.7,0,0.3
759,0.8,1,0.3
760,0.4,1,0.3
761,0.3,0,0.9
762,0.1,0,1.0
763,0.5,0,0.9
764,0.4,0,0.2
765,0.3,0,0.2
766,0.6,0,0.2
767,0.2,0,0.2
768,0.5,0,1.0
769,0.2,0,0.2
770,0.2,1,0.7
771,0.9,1,0.9
772,0.7,0,0.9
773,0.2,0,0.9
774,0.2,0,0.7
775,0.8,1,1.0
776,0.9,1,0.5
777,0.6,0,0.5
778,0.3,1,1.0
779,0.1,0,0.2
780,0.4,0,0.7
781,0.5,0,1.0
782,0.1,1,0.5
783,0.3,0,0.2
784,0.7,1,1.0
785,0.5,1,0.6
786,0.1,0,0.6
787,0.7,1,0.6
788,0.7,1,0.2
789,0.9,1,0.1
790,0.9,0,0.1
791,0.4,0,1.0
792,0.2,1,0.1
793,0.1,1,1.0
794,0.9,1,0.7
795,0.3,0,0.1
796,0.3,0,0.1
797,0.6,1,0.1
798,0.5,0,0.1
799,0.1,0,0.1
800,0.2,1,0.1
801,0.9,1,0.1
802,0.6,0,0.6
803,0.9,0,0.9
804,0.3,0,0.9
805,0.7,0,0.2
806,0.9,1,1.0
807,0.9,0,1.0
808,0.1,0,0.1
809,0.8,1,0.1
810,0.9,1,0.7
811,0.9,0,1.0
812,0.2,0,1.0
813,0.4,1,0.2
814,0.9,0,0.2
815,0.9,0,0.2
816,0.6,1,1.0
817,0.5,1,1.0
818,0.7,0,1.0
819,0.3,1,0.5
820,0.7,1,1.0
821,0.3,1,1.0
822,0.7,0,0.9
823,0.2,0,1.0
824,0.2,0,1.0
825,0.6,1,1.0
826,0.5,0,0.5
827,0.8,1,0.3
828,0.3,0,0.3
829,0.1,0,0.8
830,0.4,0,1.0
831,0.5,0,0.1
832,0.9,0,0.1
833,0.7,1,0.6
834,0.5,0,0.7
835,0.8,0,0.7
836,0.9,0,0.7
837,0.5,0,1.0
838,0.9,1,1.0
839,0.8,0,0.8
840,0.6,0,0.2
841,0.7,1,0.2
842,0.4,0,0.2
843,0.3,1,0.2
844,0.7,0,0.2
845,0.8,0,0.1
846,0.1,0,0.3
847,0.5,0,1.0
848,0.9,0,0.6
849,0.1,0,1.0
850,0.9,0,1.0
851,0.4,1,0.2
852,0.7,0,0.8
853,0.4,0,0.8
854,0.6,0,0.8
855,0.5,0,0.8
856,0.6,1,0.1
857,0.6,0,0.8
858,0.7,1,0.8
859,0.2,1,0.8
860,0.7,0,0.9
861,0.6,1,0.2
862,0.4,0,0.8
863,0.6,1,0.2
864,0.5,0,0.1
865,0.2,1,0.6
866,0.7,0,0.5
867,0.3,0,0.8
868,0.4,0,0.8
869,0.8,0,1.0
870,0.9,1,0.3
871,0.5,0,0.3
872,0.3,0,0.3
873,0.1,0,0.3
874,0.1,1,0.7
875,0.7,0,0.2
876,0.1,0,0.1
877,0.4,0,1.0
878,0.1,1,0.9
879,0.9,0,0.9
880,0.9,1,0.1
881,0.2,1,1.0
882,0.2,1,1.0
883,0.2,0,1.0
884,0.2,0,1.0
885,0.5,0,0.9
886,0.3,1,0.9
887,0.7,0,0.9
888,0.2,0,1.0
889,0.5,0,0.3
890,0.1,0,0.2
891,0.9,1,0.5
892,0.1,0,0.6
893,0.3,1,0.6
894,0.3,0,1.0
895,0.4,0,0.5
896,0.3,0,0.5
897,0.4,1,0.8
898,0.9,0,0.3
899,0.7,1,0.5
900,0.8,1,0.7
901,0.6,0,1.0
902,0.6,0,0.1
903,0.6,0,0.1
904,0.8,0,0.3
905,0.6,1,0.1
906,0.1,0,0.7
907,0.2,1,1.0
908,0.2,0,0.2
909,0.9,1,0.3
910,0.8,0,1.0
911,0.6,0,1.0
912,0.3,0,0.1
913,0.6,0,0.1
914,0.2,0,0.7
915,0.6,0,0.9
916,0.6,0,0.2
917,0.3,0,0.9
918,0.4,1,0.9
919,0.4,0,1.0
920,0.3,1,0.6
921,0.5,1,0.5
922,0.2,1,0.7
923,0.2,1,0.9
924,0.7,1,0.3
925,0.3,1,0.2
926,0.3,1,0.2
927,0.4,1,0.9
928,0.4,0,0.9
929,0.2,1,0.9
930,0.1,1,0.8
931,0.3,0,0.3
932,0.9,0,0.5
933,0.4,1,0.5
934,0.3,0,0.3
935,0.7,0,0.3
936,0.2,0,0.1
937,0.7,1,0.9
938,0.3,0,0.9
939,0.3,1,0.9
940,0.9,1,0.9
941,0.8,1,0.8
942,0.8,0,0.2
943,0.3,0,0.2
944,0.6,1,0.2
945,0.3,1,0.2
946,0.1,0,0.2
947,0.4,1,0.5
948,0.5,0,0.5
949,0.7,1,0.1
950,0.6,0,0.5
951,0.8,0,0.5
952,0.4,0,0.3
953,0.6,1,0.3
954,0.8,0,0.6
955,0.9,0,1.0
956,0.3,0,0.3
957,0.4,1,0.8
958,0.5,1,0.1
959,0.8,0,0.1
960,0.8,0,0.7
961,0.6,0,0.2
962,0.3,0,0.6
963,0.2,1,0.6
964,0.2,0,0.8
965,0.4,1,0.2
966,0.3,1,0.6
967,0.8,1,0.6
968,0.6,0,1.0
969,0.6,0,1.0
970,0.7,0,0.1
971,0.8,1,0.9
972,0.6,0,0.7
973,0.1,1,0.2
974,0.2,0,0.6
975,0.5,1,0.1
976,0.7,0,1.0
977,0.1,0,1.0
978,0.4,0,0.9
979,0.9,0,0.9
980,0.8,1,0.3
981,0.1,0,0.7
982,0.8,1,0.9
983,0.9,0,0.9
984,0.8,1,0.6
985,0.9,0,0.8
986,0.9,0,0.8
987,0.5,1,0.2
988,0.3,1,0.2
989,0.8,1,0.6
990,0.3,1,0.2
991,0.5,0,0.2
992,0.6,0,0.2
993,0.9,1,0.2
994,0.6,1,0.9
995,0.1,1,1.0
996,0.4,1,1.0
997,0.8,0,1.0
998,0.7,0,0.8
999,0.4,1,0.8
1000,0.5,1,0.8
1001,0.5,1,0.3
1002,0.4,1,0.3
1003,0.6,0,0.3
1004,0.1,1,0.6
1005,0.7,0,1.0
1006,0.2,0,0.6
1007,0.5,0,0.9
1008,0.6,1,0.9
1009,0.7,1,0.9
1010,0.1,0,0.9
1011,0.1,0,0.9
1012,0.9,1,0.9
1013,0.9,0,0.7
1014,0.5,1,0.7
1015,0.6,0,0.7
1016,0.9,1,1.0
1017,0.5,0,1.0
1018,0.5,1,1.0
1019,0.1,0,0.5
1020,0.8,1,0.5
1021,0.7,0,0.9
1022,0.2,1,0.9
1023,0.1,0,0.7
1024,0.6,1,0.6
1025,0.2,0,1.0
1026,0.1,0,1.0
1027,0.7,1,1.0
1028,0.4,1,1.0
1029,0.9,0,0.2
1030,0.3,1,0.2
1031,0.8,1,0.2
1032,0.5,0,1.0
1033,0.7,1,0.9
1034,0.1,1,0.9
1035,0.6,1,0.5
1036,0.7,1,0.8
1037,0.3,1,1.0
1038,0.8,1,0.3
1039,0.5,1,0.1
1040,0.1,0,0.7
1041,0.1,1,1.0
1042,0.1,1,0.5
1043,0.3,1,0.8
1044,0.7,1,0.5
1045,0.1,0,0.9
1046,0.2,1,0.8
1047,0.9,0,0.9
1048,0.4,1,0.7
1049,0.6,1,0.7
1050,0.1,1,0.7
1051,0.1,1,1.0
1052,0.7,0,1.0
1053,0.7,1,1.0
1054,0.5,1,1.0
1055,0.2,0,0.2
1056,0.8,1,0.9
1057,0.5,1,0.9
1058,0.3,0,0.9
1059,0.5,1,0.9
1060,0.7,1,0.5
1061,0.1,0,0.3
1062,0.1,0,0.2
1063,0.7,1,0.6
1064,0.2,0,0.6
1065,0.7,1,0.1
1066,0.9,1,0.6
1067,0.7,1,0.6
1068,0.8,1,1.0
1069,0.4,0,0.8
1070,0.2,0,0.6
1071,0.3,1,1.0
1072,0.4,0,0.9
1073,0.8,1,0.2
1074,0.4,0,0.2
1075,0.2,0,1.0
1076,0.4,0,0.8
1077,0.9,1,0.8
1078,0.5,1,0.8
1079,0.8,1,0.8
1080,0.4,0,0.3
1081,0.7,1,1.0
1082,0.5,1,1.0
1083,0.7,0,1.0
1084,0.3,0,0.3
1085,0.1,0,0.9
1086,0.2,1,0.9
1087,0.9,1,0.6
1088,0.1,1,0.5
1089,0.1,1,0.5
1090,0.5,1,0.2
1091,0.9,1,0.9
1092,0.1,1,0.1
1093,0.2,1,0.7
1094,0.7,0,0.9
1095,0.9,0,0.9
1096,0.3,0,0.9
1097,0.4,1,0.9
1098,0.9,1,0.3
1099,0.9,1,0.5
1100,0.1,0,1.0
1101,0.2,0,0.1
1102,0.2,1,0.9
1103,0.4,1,0.1
1104,0.2,0,0.1
1105,0.5,0,0.7
1106,0.1,0,0.7
1107,0.9,0,0.9
1108,0.4,0,0.2
1109,0.2,0,0.2
1110,0.3,1,0.2
1111,0.7,0,0.3
1112,0.1,1,0.6
1113,0.3,1,0.6
1114,0.9,1,0.6
1115,0.6,1,0.2
1116,0.3,1,0.8
1117,0.3,0,1.0
1118,0.8,1,0.1
1119,0.3,0,0.6
1120,0.7,1,0.6
1121,0.1,0,0.6
1122,0.4,0,1.0
1123,0.7,1,0.3
1124,0.4,1,0.3
1125,0.7,0,0.3
1126,0.2,1,0.9
1127,0.6,1,0.1
1128,0.7,0,0.2
1129,0.8,1,1.0
1130,0.3,0,0.1
1131,0.1,1,1.0
1132,0.6,0,0.7
1133,0.3,1,1.0
1134,0.2,0,0.7
1135,0.7,0,0.6
1136,0.2,1,1.0
1137,0.3,1,0.2
1138,0.4,1,0.2
1139,0.1,0,1.0
1140,0.4,1,0.1
1141,0.3,0,0.6
1142,0.7,1,0.6
1143,0.6,1,0.6
1144,0.9,0,0.8
1145,0.3,1,0.1
1146,0.5,1,1.0
1147,0.1,1,0.5
1148,0.3,1,1.0
1149,0.3,1,0.8
1150,0.3,1,1.0
